anime_id,source_id,source
10572,6,4-komamanga
10573,1,Original
10574,2,Manga
10575,2,Manga
10576,8,Other
10577,NULL,NULL
10578,1,Original
10579,NULL,NULL
10580,5,Visualnovel
10581,1,Original
10582,NULL,NULL
10583,1,Original
10584,5,Visualnovel
10585,3,Lightnovel
10586,4,Game
10587,1,Original
10588,NULL,NULL
10589,1,Original
10590,2,Manga
10591,8,Other
10592,2,Manga
10593,NULL,NULL
10594,NULL,NULL
10595,2,Manga
10596,1,Original
10597,6,4-komamanga
10598,NULL,NULL
10599,1,Original
10600,5,Visualnovel
10601,1,Original
10602,2,Manga
10603,NULL,NULL
10604,2,Manga
10605,NULL,NULL
10606,NULL,NULL
10607,NULL,NULL
10608,2,Manga
10609,2,Manga
10610,2,Manga
10611,2,Manga
10612,5,Visualnovel
10613,1,Original
10614,1,Original
10615,1,Original
10616,1,Original
10617,1,Original
10618,1,Original
10619,1,Original
10620,1,Original
10621,NULL,NULL
10622,8,Other
10623,4,Game
10624,2,Manga
10625,1,Original
10626,1,Original
10627,2,Manga
10628,1,Original
10629,2,Manga
10630,1,Original
