anime_id,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
11804,326,386,1083,2454,2370,1358,488,241,92,81
11805,50,22,58,162,263,442,283,161,123,160
11806,55,65,137,256,247,155,49,31,17,11
11807,650,586,1411,1995,809,330,89,41,18,23
11808,9646,22160,44890,34601,12305,4483,1610,565,290,247
11809,389,503,1278,2335,1286,528,157,50,17,15
11810,61107,94386,98747,46186,13196,5053,1727,685,350,692
11811,6,4,2,7,14,17,7,8,8,12
11812,4,0,0,2,2,4,2,5,0,13
11813,2624,4721,7563,5158,1899,803,360,143,93,84
11814,20,7,14,28,36,23,20,4,6,5
11815,8,0,4,2,4,3,1,2,2,7
11816,13,6,12,18,23,11,4,4,0,4
11817,10,4,4,11,15,28,12,24,7,12
11818,6,0,4,16,12,30,11,9,10,19
